Name,Final Project,Link,Status
Parallel Programming,,http://imp.i384100.net/QOLd3P,Not started
https://www.coursera.org/learn/nand2tetris2ompilers,,https://www.edx.org/course/compilers,Not started
Introduction to Haskell,,https://www.seas.upenn.edu/~cis194/fall16/,Not started
Learn Prolog Now!,,https://www.let.rug.nl/bos/lpn//lpnpage.php?pageid=online,Not started
Software Debugging,,http://imp.i115008.net/jW06Ae,Not started
Software Testing,,https://imp.i115008.net/kjE2Gz,Not started
,,,
