Name,Final Project,Link,Status
START HERE: Crash Course Computer Science,,https://www.youtube.com/playlist?list=PLH2l6uzC4UEW0s7-KewFLBC1D0l6XRfye,Not started
Python for Everybody,,http://imp.i384100.net/Zd5jjq,Not started
"CS50's Introduction to Computer Science ",,https://cs50.harvard.edu/x/2022/,Not started
Introduction to Computer Science and Programming Using Python,,https://www.edx.org/course/introduction-to-computer-science-and-programming-7,Not started
,,,
