Name,Final Project,Link,Status
,,,
Computation Structures 1: Digital Circuits,,https://learning.edx.org/course/course-v1:MITx+6.004.1x_3+3T2016/home,Not started
Computation Structures 2: Computer Architecture,,https://learning.edx.org/course/course-v1:MITx+6.004.2x+3T2015/home,Not started
Computation Structures 3: Computer Organization,,https://learning.edx.org/course/course-v1:MITx+6.004.3x_2+1T2017/home,Not started
,,,
