Name,Final Project,Link,Status
Essence of Linear Algebra,,https://www.youtube.com/playlist?list=PLZHQObOWTQDPD3MizzM2xVFitgF8hE_ab,Not started
Linear Algebra,,https://ocw.mit.edu/courses/mathematics/18-06sc-linear-algebra-fall-2011/,Not started
Probability,,https://projects.iq.harvard.edu/stat110/home,Not started
Introduction to Logic,,http://imp.i384100.net/AoeMXj,Not started
Introduction to Numerical Analysis,,https://imp.i384100.net/Vy9D3A,Not started
,,,
