Name,Final Project,Link,Status
Build a Modern Computer from First Principles: From Nand to Tetris (Project-Centered Course),,http://imp.i384100.net/6bLMMK,Not started
https://www.coursera.org/learn/nand2tetris2,,http://imp.i384100.net/OR0ddQ,Not started
https://pages.cs.wisc.edu/~remzi/Classes/537/Spring2018/,,https://pages.cs.wisc.edu/~remzi/Classes/537/Spring2018/,Not started
http://gaia.cs.umass.edu/kurose_ross/online_lectures.htm,,http://gaia.cs.umass.edu/kurose_ross/online_lectures.htm,Not started
,,,
