Name,Final Project,Link,Status
Theory of Computation,,http://aduni.org/courses/theory/index.php?view=cw,Not started
Computational Geometry,,https://www.edx.org/course/computational-geometry,Not started
Game Theory,,https://imp.i384100.net/JrXdyR,Not started
,,,
